Rank 2018	Rank 2017	Company	Revenue(000)	Net income(000)	Employees	Tractors	Trailers
24	25	Kenan Advantage Group Inc.	"1,441,440"	-	"9,000"	"6,686"	"10,744"
25	26	C.R. England Inc.	"1,405,411"	-	"7,975"	"4,213"	"6,116"
26	21	Sirva Inc.	"1,400,000"	-	-	-	-
27	28	Saia Inc.	"1,378,510"	"91,156"	"9,800"	"4,259"	"13,901"
28	20	Purolator Holdings Ltd.	"1,343,111"	-	"10,000"	465	"1,329"
29	42	Daseke Inc.	"1,300,000"	"26,996"	"4,700"	"5,200"	"11,500"
30	29	Southeastern Freight Lines	"1,260,050"	-	"8,792"	"3,635"	"11,697"
31	32	Universal Logistics Holdings	"1,216,665"	"28,153"	"8,231"	"3,784"	"5,765"
32	31	Averitt Express	"1,146,970"	"98,967"	"8,500"	"4,513"	"14,585"
33	37	Forward Air Corp.	"1,100,816"	"87,321"	"4,898"	964	"6,464"
34	35	Crete Carrier Corp.	"1,100,000"	-	"6,000"	"5,400"	"14,000"
35	33	Celadon Group Inc.	"1,065,356"	-	"5,200"	"3,850"	"10,000"
36	34	Anderson Trucking Service	"1,004,301"	-	"1,996"	"2,652"	"6,958"
37	38	KLLM Transport Services	"959,000"	-	-	"3,800"	"5,700"
38	39	Lynden Inc.	"950,000"	-	"2,600"	768	"2,889"
39	59	Evans Network of Cos.	"898,000"	-	376	"5,014"	550
40	41	Atlas World Group	"842,100"	"4,800"	671	"1,271"	"4,076"
41	40	Ruan	"836,298"	-	"5,500"	"2,900"	"8,710"
42	43	Quality Distribution Inc.	"786,000"	-	-	"2,541"	"5,204"
43	44	Central Transport International	"754,000"	-	-	"3,180"	"6,543"
44	36	Cardinal Logistics Holdings	"720,000"	-	"4,245"	"2,905"	"7,940"
45	51	Day & Ross Transportation	"718,941"	-	"2,240"	"1,800"	"5,714"
46	50	Pitt Ohio Transportation Group	"715,827"	-	"5,381"	"1,856"	"5,372"
47	47	Covenant Transport Services	"705,007"	"55,439"	"4,297"	"2,700"	"7,389"
48	46	Marten Transport Ltd.	"698,120"	"90,284"	"3,492"	"2,738"	"4,909"
49	49	Stevens Transport	"694,980"	"83,845"	"2,925"	"2,810"	"4,010"
50	53	AAA Cooper Transportation Inc.	"665,000"	-	"5,000"	"3,000"	"6,500"
51	56	United Road Services Inc.	"645,000"	-	"1,700"	"1,850"	"1,150"
52	58	Mullen Group Ltd.	"627,372"	-	"3,535"	"1,919"	"5,065"
53	52	Heartland Express Inc.	"607,336"	"75,173"	"3,800"	"6,719"	"19,975"
54	48	Jack Cooper Holdings Corp.	"602,825"	"74,839"	"3,753"	"2,637"	-
55	61	PS Logistics	"595,780"	-	"3,000"	"2,500"	-
56	45	Trimac Transportation	"576,796"	-	"3,200"	"1,720"	"3,800"
57	56	OnTrac Inc.	"572,856"	-	-	36	950
58	55	Western Express Inc.	"566,230"	"41,998"	"2,850"	"2,555"	"7,800"
59	60	Dayton Freight Lines Inc.	"562,000"	-	"4,501"	"1,561"	"3,803"
60	54	Suddath	"550,000"	-	-	-	-
61	62	Canada Cartage	"546,309"	-	"3,137"	"2,548"	"2,817"
62	69	Bennett International Group	"512,874"	-	"1,023"	"1,345"	"2,126"
63	63	Mercer Transportation Co.	"492,509"	-	293	"2,299"	"2,299"
64	-	Two Men and a Truck Movers	"487,236"	-	"6,136"	-	-
65	74	Bison Transport Inc.	"472,004"	-	"2,944"	"1,704"	"4,732"
66	67	Cowan Systems	"462,544"	-	"1,946"	"2,122"	"5,677"
67	-	Eagle Express Lines/Hoovestol Inc.	"452,429"	-	-	"1,935"	"2,421"
68	64	Dart Holding Co.	"451,925"	-	"2,626"	"2,131"	"7,159"
69	70	USA Truck	"446,533"	"7,497"	"2,400"	"1,669"	"5,596"
70	66	Shevell Group	"439,500"	-	"3,745"	"1,550"	"3,950"
71	68	P.A.M. Transport	"437,838"	"38,899"	"2,409"	"2,281"	"5,795"
72	72	Mesilla Valley Transportation	"430,261"	-	"1,760"	"1,450"	"6,000"
73	71	TransX Group of Companies	"415,541"	-	"2,617"	"1,365"	"4,410"
74	73	TMC Transportation	"413,000"	-	-	"2,613"	"3,404"
75	79	Black Horse Carriers	"412,500"	-	"3,150"	"1,670"	"3,500"
76	81	Epes Carriers Inc.	"400,977"	"26,309"	-	"1,272"	"6,065"
77	-	LaserShip Inc.	"400,000"	-	-	29	27
78	76	Roehl Transport Inc.	"384,473"	-	"2,336"	"1,983"	"4,873"
79	78	A. Duie Pyle Inc.	"373,000"	-	"2,697"	946	"1,936"
80	80	Maverick USA Inc.	"352,068"	-	"2,122"	"1,648"	"2,480"
81	87	Transport Investments Inc.	"339,920"	-	190	"1,037"	"1,846"
82	84	IMC Cos.	"332,490"	-	"2,300"	"1,658"	148
83	82	Dicom Transportation Group	"320,700"	-	-	-	-
84	94	Salmon Cos.	"314,303"	-	-	713	"1,092"
85	83	Cassens Transport	"302,004"	-	"1,265"	"1,231"	"1,231"
86	88	TransAm Trucking Inc.	"280,000"	-	-	"1,135"	"1,823"
87	92	Hirschbach Motor Lines	"278,494"	-	800	"1,250"	"1,965"
88	91	Foodliner/Quest Liner	"277,471"	-	"1,190"	"1,183"	"2,233"
89	85	Koch Companies Inc.	"277,000"	-	"1,190"	"1,053"	"5,476"
90	86	Dependable Supply Chain Services	"274,000"	-	-	344	"1,220"
91	90	Trans-System Inc.	"271,000"	-	"1,050"	"1,000"	"1,700"
92	-	Melton Truck Lines Inc.	"269,785"	-	"1,569"	"1,310"	"2,111"
93	77	Central Freight Lines	"266,000"	-	-	"2,001"	"8,012"
94	97	Martin Transportation Systems	"261,403"	-	"1,725"	"1,060"	"2,250"
95	100	A&R Logistics	"259,370"	-	"1,100"	858	"1,132"
96	89	Challenger Group	"258,734"	-	"1,850"	"1,469"	"3,300"
97	93	United Vision Logistics	"256,000"	-	-	"1,003"	"1,347"
98	99	Superior Bulk Logistics Inc.	"252,300"	"14,500"	"1,370"	"1,100"	"2,000"
99	96	John Christner Trucking	"244,696"	"13,138"	222	809	"1,112"
100	-	Acme Truck Line	"239,000"	-	"1,900"	"1,315"	"1,314"
