Company	Revenue	NumberEmployees	NumberTractors	NumberTruckVans	NumberTrailers	SCAC	Year
A&R Logistics	229258	1100	900		1200	ANRI	2017
A&R Logistics	259370	1100	858		1132	ANRI	2018
Arnold Transportation Services	237000	1429	1399		4265	ANTT	2013
Acme Truck Line Inc.	239000	1900	1315		1314	ATEQ	2018
Acme Truck Line Inc.	325000	3000	1910	780	2200	ATEQ	2011
Acme Truck Line Inc.	372739	3150	1322	386	0	ATEQ	2012
Acme Truck Line Inc.	356157	3200	2007	724	2257	ATEQ	2013
Acme Truck Line Inc.	487208	3000	2007	724	2257	ATEQ	2014
Acme Truck Line Inc.	214975	2600	1037	1010	1400	ATEQ	2010
Greatwide Logistics Services	1000000	3200	4967	0	5628	ATGL	2009
Greatwide Logistics Services	1022027	3300	4089	0	5200	ATGL	2010
Greatwide Logistics Services	1045957	3500	4252	0	5355	ATGL	2011
Greatwide Logistics Services	444737					ATGL	2012
Averitt Express	768348		3668	48	12210	AVRT	2009
Averitt Express	824000		3720	46	12082	AVRT	2010
Averitt Express	922000		3753	44	11955	AVRT	2011
Averitt Express	961560		3939	43	11606	AVRT	2012
Averitt Express	1020000	N/A	4121	42	12139	AVRT	2013
Averitt Express	1078000		4441	45	13075	AVRT	2014
Averitt Express	1091475		4500		14623	AVRT	2017
Averitt Express	1146970	8500	4513		14585	AVRT	2018
Kenan Advantage Group Inc.	672113	5622	3231	0	3294	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2009
Kenan Advantage Group Inc.	772447	6245	4038	0	5382	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2010
Kenan Advantage Group Inc.	987800	6560	4380	0	5771	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2011
Kenan Advantage Group Inc.	1091031	6873	4767	0	6229	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2012
Kenan Advantage Group Inc.	1286631	7530	6301		9774	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2013
Kenan Advantage Group Inc.	1567453	7265	6455		9448	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2014
Kenan Advantage Group Inc.	1421975	7561	6869		10404	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2017
Kenan Advantage Group Inc.	1441440	9000	6686		10744	"AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB"	2018
Contrans Group	327374	1600	1100	0	2200	BCFG	2009
Contrans Group	382143	943	1146	0	1966	BCFG	2011
Contrans Group	522429		1520	0	4200	BCFG	2012
Contrans Group	555715		1400		2600	BCFG	2013
Contrans Group	347918	943	1146	0	1966	BCFG	2010
Bennett International Group	206477	574	615	667	1178	BGME	2009
Bennett International Group	221208	574	650	667	1155	BGME	2010
Bennett International Group	249514	638	646	616	1155	BGME	2011
Bennett International Group	266349	643	680	560	1152	BGME	2012
Bennett International Group	327857	727	1179	263	1422	BGME	2013
Bennett International Group	436024	772	1408	388	1418	BGME	2014
Bennett International Group	429616	998	1338		1892	BGME	2017
Bennett International Group	512874	1023	1345		2126	BGME	2018
Bison Transport	391156	2395	1310	15	3454	BIOS	2012
Bison Transport	485484	2600	1402		4000	BIOS	2013
Bison Transport	489568	2321	1502		3857	BIOS	2014
Bison Transport	375253	1850	1101	10	3128	BIOS	2011
Bison Transport	291121	1700	1050	0	3000	BIOS	2010
Bison Transport	432084	2559	1439		4475	BIOS	2017
Bison Transport	472004	2944	1704		4732	BIOS	2018
Brown Integrated Logistics	218012	1031	1009	14	4750	BRWH	2012
Brown Integrated Logistics	218779	1107	1002	10	4800	BRWH	2013
Brown Integrated Logistics	224655	1104	1047	12	5100	BRWH	2014
Groupe Robert	420168	3300	1100	0	2142	BUTN	2012
Groupe Robert	410719		1370		3000	BUTN	2013
Canada Cartage System	452728	3110	2429		2736	CACG	2017
Canada Cartage System	546309	3137	2548		2817	CACG	2018
Canada Cartage System	350520		2000	430	2300	CACG	2009
Canada Cartage System	470645	3500	2500	430	2300	CACG	2010
Canada Cartage System	539830	3600	1940	415	2300	CACG	2011
Canada Cartage System	543820	3700	2188	350	2165	CACG	2012
Canada Cartage System	541800	3800	2246	359	2589	CACG	2013
Canada Cartage System	516976		2543	368	2417	CACG	2014
Calyx Transportation Group	228714	1800	365	33	1158	Calyx	2009
Calyx Transportation Group	232128	1802	357	42	1917	Calyx	2010
Calyx Transportation Group	228983	600	251	15	1674	Calyx	2011
Calyx Transportation Group	223323	373	488	30	750	Calyx	2013
Calyx Transportation Group	218198		500	30	750	Calyx	2014
Cassens Transport	238358	1231	537		536	CASF	2011
Cassens Transport	283775	1280	615		615	CASF	2012
Cassens Transport	289794	1430	1303			CASF	2013
Cassens Transport	328649	1445	1371			CASF	2014
Cassens Transport	317557	1419	1364		1364	CASF	2017
Cassens Transport	302004	1265	1231		1231	CASF	2018
California Cartage Co.	311000		1000	0	0	CCXP	2012
California Cartage Co.	318000		1000			CCXP	2013
California Cartage Co.	368700		1200			CCXP	2014
California Cartage Co.	440000	1500				CCXP	2017
Celadon Group Inc.	1050000	6000	7050		15000	CDNK	2017
Celadon Group Inc.	1065356	5200	3850		10000	CDNK	2018
Celadon Group Inc.	490338	3777	3488	0	9900	CDNK	2009
Celadon Group Inc.	556695	3478	2785	0	8206	CDNK	2011
Celadon Group Inc.	612202	4100	3801	48	8782	CDNK	2012
Celadon Group Inc.	680936		3790		8385	CDNK	2013
Celadon Group Inc.	806400	4582	4031		11180	CDNK	2014
Celadon Group Inc.	541841	3802	3194	0	9852	CDNK	2010
Central Freight Lines	207000	3235	2351	0	8464	CENT	2009
Central Freight Lines	211067	2341	1092	11	2700	CENT	2010
Central Freight Lines	209000	1853	1610	49	8000	CENT	2011
Central Freight Lines	347800		1127		7852	CENT	2017
Central Freight Lines	266000		2001		8012	CENT	2018
Central Freight Lines	214000		1448	85	6648	CENT	2014
Challenger Group	334503	2300	1505	0	3613	CGFR	2011
Challenger Group	258006					CGFR	2017
Challenger Group	258734	1850	1469		3300	CGFR	2018
Challenger Group	321876	2300	1505	34	3563	CGFR	2010
Challenger Group	340351	2300	1505	0	3613	CGFR	2012
Challenger Group	325502	1800	1440		2900	CGFR	2013
Challenger Group	300130	1900	1640		3300	CGFR	2014
Challenger Group	285674	2300	3081	34	3563	CGFR	2009
Cardinal Logistics management	1000600	4642	3020		9725	CHWK	2017
Cardinal Logistics management	720000	4245	2905		7940	CHWK	2018
Cardinal Logistics management	274100	2030	1458	171	4824	CHWK	2010
Cardinal Logistics management	257000	1811	1201	264	4297	CHWK	2009
Cardinal Logistics management	850000	5100	4066	201	9930	CHWK	2012
John Christner Trucking LLC	239015	232	844		1060	CJHT	2017
John Christner Trucking LLC	244696	222	809		1112	CJHT	2018
John Christner Trucking LLC	264774	967	817	0	1098	CJHT	2012
John Christner Trucking LLC	256426	211	878		1188	CJHT	2013
John Christner Trucking LLC	271104	213	733		1184	CJHT	2014
Comtrak Logistics	294747	343	2102	0	450	CMKI	2011
Comtrak Logistics	373827	658	2541	0	450	CMKI	2012
Comtrak Logistics	3373898	1982	2624		448	CMKI	2013
Comtrak Logistics	3571126	2568	2977		448	CMKI	2014
Conway Inc	5289953	27800	11900	0	34400	CNWY	2011
Conway Inc	5580247	29987	11800	0	40000	CNWY	2012
Conway Inc	5473356	29500	11867		32800	CNWY	2013
Conway Inc	5806069	30100	12100		33300	CNWY	2014
Conway Inc	4269239	27400	49328	72527	49660	CNWY	2009
Conway Inc	4952000	27900	11952	105	34400	CNWY	2010
Jack Cooper Transport Co.	667849		2119		2126	COOJ	2017
Jack Cooper Transport Co.	602825	3753	2637			COOJ	2018
Jack Cooper Transport Co.	165600	1521	1533	0	1531	COOJ	2009
Jack Cooper Transport Co.	450000	2000	1800	0	1800	COOJ	2011
Jack Cooper Transport Co.	275000	1500	1800	0	1800	COOJ	2010
Jack Cooper Transport Co.	500000	2500	2030	0	0	COOJ	2012
Jack Cooper Transport Co.	825000	4500	4000			COOJ	2013
Jack Cooper Transport Co.	790000		3500			COOJ	2014
Crete Carrier Corp.	998727	5627	5500	0	13494	CRCR	2012
Crete Carrier Corp.	1008165	5524	5300		13614	CRCR	2013
Crete Carrier Corp.	1100000	5500	5130		12883	CRCR	2014
Crete Carrier Corp.	850000	5750	5100	0	13500	CRCR	2009
Crete Carrier Corp.	850311	5815	5260	0	13400	CRCR	2010
Crete Carrier Corp.	942000	5933	5266	0	13330	CRCR	2011
Crete Carrier Corp.	1030000	5500	5130		12883	CRCR	2017
Crete Carrier Corp.	1100000	6000	5400		14000	CRCR	2018
CRST International	838193	6490	3427	0	6031	CRFR	2010
CRST International	1277348	5200	4413	0	7569	CRFR	2011
CRST International	1257995	5128	4511	0	7570	CRFR	2012
CRST International	1269899	4975	4490	5	7552	CRFR	2013
CRST International	1351571	5129	4394		7290	CRFR	2014
CRST International	1546000	7849	6682		13811	CRFR	2017
CRST International	1555000	7538	5774		12145	CRFR	2018
CRST International	679622	3740	2952	0	4973	CRFR	2009
Central Refrigerated Service Inc	346472	1700	1750	0	2700	CRFS	2010
Central Refrigerated Service Inc	419138	1650	1800	0	3000	CRFS	2011
Central Refrigerated Service Inc	452805	1687	1915	0	3100	CRFS	2012
Central Refrigerated Service Inc	322103	1430	1720	0	2680	CRFS	2009
Central Transport International	703000		3180		6543	CTII	2017
Central Transport International	754000		3180		6543	CTII	2018
Covenant Transportation Group	674254	5124	2884	0	6904	CVTH	2012
Covenant Transportation Group	684549	4204	2688		6861	CVTH	2013
Covenant Transportation Group	718980	4400	2665		6722	CVTH	2014
Covenant Transportation Group	649749	4740	3059	0	7332	CVTH	2010
Covenant Transportation Group	670651	4400	2535		7389	CVTH	2017
Covenant Transportation Group	705007	4297	2700		7389	CVTH	2018
Covenant Transportation Group	588687	4819	3206	0	8005	CVTH	2009
Covenant Transportation Group	652627	4807	3194	0	7361	CVTH	2011
Cowan Systems	199668	920	1070	0	3737	CWAS	2009
Cowan Systems	230321	1066	1195	0	2750	CWAS	2010
Cowan Systems	279044	1281	1252	0	3079	CWAS	2011
Cowan Systems	315325	1362	1455	0	3724	CWAS	2012
Cowan Systems	377428	1878	1748		3795	CWAS	2013
Cowan Systems	421515	1700	1748		3795	CWAS	2014
Cowan Systems	434018	1915	2059		5111	CWAS	2017
Cowan Systems	462544	1946	2122		5677	CWAS	2018
Dayton Freight Lines Inc.	257000	2500	1065	25	2300	DAFG	2010
Dayton Freight Lines Inc.	321000	2838	1105	31	2698	DAFG	2011
Dayton Freight Lines Inc.	363400	2906	1167	39	2750	DAFG	2012
Dayton Freight Lines Inc.	386000	3361	1167	39	2750	DAFG	2013
Dayton Freight Lines Inc.	436000	3610	1228		3109	DAFG	2014
Dayton Freight Lines Inc.	213500	2200	996	19	2205	DAFG	2009
Dayton Freight Lines Inc.	498370	4010	1387		3664	DAFG	2017
Dayton Freight Lines Inc.	562000	4501	1561		3803	DAFG	2018
Dart Transit Co.	441845	1273	2187		6963	"DART,DARN,DARD"	2017
Dart Transit Co.	451925	2626	2131		7159	"DART,DARN,DARD"	2018
Dart Transit Co.	480000	320	2225	0	7950	"DART,DARN,DARD"	2011
Dart Transit Co.	474000	479	2539	0	7385	"DART,DARN,DARD"	2009
Dart Transit Co.	458000	378	2481	0	8252	"DART,DARN,DARD"	2010
Dart Transit Co.	457000	348	2087	0	7126	"DART,DARN,DARD"	2012
Dart Transit Co.	426320	411	1886		6799	"DART,DARN,DARD"	2013
Dart Transit Co.	425503	1365	1875		5789	"DART,DARN,DARD"	2014
DHL USA 	6586872		46	2683	28	DMAL	2009
The Dependable Cos.	278000		321		1220	DPXI	2017
The Dependable Cos.	274000		344		1220	DPXI	2018
The Dependable Cos.	257000	1590	562	40	1231	DPXI	2013
The Dependable Cos.	282000	1777	496	1	1130	DPXI	2014
United Vision Logistics	461100	381	2550	0	0	DYNS	2010
United Vision Logistics	494000	361	2238	0	0	DYNS	2011
United Vision Logistics	400325	291	1505	468	1668	DYNS	2013
United Vision Logistics	245000		1003		1347	DYNS	2017
United Vision Logistics	256000		1003		1347	DYNS	2018
Dynamex Inc	301924	1500	97	745	2404	DYXW	2009
FedEx Corp.	34734000	280000	22800	60900	0	ELGS	2009
FedEx Corp.	38180000	285000	22803	52353	80281	ELGS	2010
FedEx Corp.	42224000	300000	23692	53839	84817	ELGS	2011
FedEx Corp.	43898000	300000	24261	57335	86707	ELGS	2012
FedEx Corp.	45100000	300000	25028	62076	92982	ELGS	2013
FedEx Corp.	47100000	300000	26594	39211	97469	ELGS	2014
FedEx Corp.	57570000	400000	29733		108041	ELGS	2017
FedEx Corp.	63864000	425000	29873		113218	ELGS	2018
OnTrac Inc.	239552	1571	0	0	154	EMSY	2011
OnTrac Inc.	286911	1656	0	0	250	EMSY	2012
OnTrac Inc.	332331	1697			445	EMSY	2013
OnTrac Inc.	525000	3000	55		571	EMSY	2017
OnTrac Inc.	572856		36		950	EMSY	2018
C.R. England Inc.	919092	5531	3552	0	5425	ENGI	2009
C.R. England Inc.	934669	6109	3747	0	5444	ENGI	2010
C.R. England Inc.	1079716	4005	4331	0	6854	ENGI	2011
C.R. England Inc.	1416806	6759	5238	0	7259	ENGI	2012
C.R. England Inc.	1495597	7352	4498		6400	ENGI	2013
C.R. England Inc.	1517290	7385	4087		5293	ENGI	2014
C.R. England Inc.	1304898	7883	4165		5990	ENGI	2017
C.R. England Inc.	1405411	7975	4213		6116	ENGI	2018
Epes Carriers Inc.	247898	1206	1105	0	3922	EPES	2010
Epes Carriers Inc.	277087	1276	1087	0	3804	EPES	2011
Epes Carriers Inc.	302593	1424	1116	27	4422	EPES	2012
Epes Carriers Inc.	320000	1446	1115			EPES	2013
Epes Carriers Inc.	341494	1359	1121		5500	EPES	2014
Epes Carriers Inc.	218434	1206	1091	0	3920	EPES	2009
Epes Carriers Inc.	332073	1535	1202			EPES	2017
Epes Carriers Inc.	400977		1272		6065	EPES	2018
Evans Network of Cos.	181000	250	1770	0	400	EVTW	2009
Evans Network of Cos.	275000	260	1850	0	525	EVTW	2012
Evans Network of Cos.	310000	200	2250		525	EVTW	2013
Evans Network of Cos.	400000	275	3150		525	EVTW	2014
Evans Network of Cos.	245673	250	1760	0	500	EVTW	2010
Evans Network of Cos.	268635	250	1725	0	525	EVTW	2011
Evans Network of Cos.	505000	320	3865		650	EVTW	2017
Evans Network of Cos.	898000	376	5014		550	EVTW	2018
Estes Express Lines	1304000	12469	5547	315	21994	EXLA	2009
Estes Express Lines	1502510	13412	6009	371	22120	EXLA	2010
Estes Express Lines	170000	13605	6131	433	22760	EXLA	2011
Estes Express Lines	1857598	13849	6536	523	24135	EXLA	2012
Estes Express Lines	1948535	14909	6277	398	24102	EXLA	2013
Estes Express Lines	2173000	15815	6620	388	24592	EXLA	2014
Estes Express Lines	2400000	16570	7009		26718	EXLA	2017
Estes Express Lines	2740000	17397	6695		27443	EXLA	2018
Transport America	203178	1205	1156	0	3855	EXTO	2009
Transport America	219721	1551	1150	0	3650	EXTO	2010
Transport America	392000	2520	1880	0	5050	EXTO	2011
Transport America	363546	2270	1680	30	4570	EXTO	2012
Transport America	347465	1945	1515		4450	EXTO	2013
Forward Air Corp.	536402	3161	1027	177	2536	FAFN	2011
Forward Air Corp.	417410	2755	395.7873754	68.21262458	2310	FAFN	2009
Forward Air Corp.	483939	2717	388.9634551	67.03654485	2375	FAFN	2010
Forward Air Corp.	584446	3169	3801	166	2746	FAFN	2012
Forward Air Corp.	652481	3537	1517	196	3017	FAFN	2013
Forward Air Corp.	1010959	3600	1300	196	3100	FAFN	2014
Forward Air Corp.	982530	3689	935		4868	FAFN	2017
Forward Air Corp.	1100816	4898	964		6464	FAFN	2018
Falcon Transport Co.	217510	1744	853		1251	FCNW	2013
Foodliner/Quest Liner	252275	1261	1173		2185	FOLW	2017
Foodliner/Quest Liner	277471	1190	1183		2233	FOLW	2018
Frozen Food Express Industries	373051	2187	1943	0	3786	FRZF	2009
Frozen Food Express Industries	368822	2286	1803	0	3503	FRZF	2010
Frozen Food Express Industries	388461	2125	1656	0	3388	FRZF	2011
Frozen Food Express Industries	377715	2183	1807	0	3252	FRZF	2012
Dicom Transportation Group	230874	1200	812		450	GOGI	2014
Dicom Transportation Group	320700					GOGI	2017
Dicom Transportation Group	320700					GOGI	2018
Gordon Trucking Inc.	320000	2000	1640	0	4800	GORK	2010
Gordon Trucking Inc.	383000	2400	1900	0	6100	GORK	2011
Gordon Trucking Inc.	426000	2500	1925	0	6700	GORK	2012
Gordon Trucking Inc.	285000	1900	1500	0	4200	GORK	2009
Heartland Express Inc.	499516	3000	3000	0	8500	HAEI	2010
Heartland Express Inc.	528623	2862	2886	0	7800	HAEI	2011
Heartland Express Inc.	545745	2993	2826	0	7800	HAEI	2012
Heartland Express Inc.	961525	5220	4878		14372	HAEI	2013
Heartland Express Inc.	871355	4500	4776		12970	HAEI	2014
Heartland Express Inc.	459539	2781	3000	0	8500	HAEI	2009
Heartland Express Inc.	612937	3600	5049		15218	HAEI	2017
Heartland Express Inc.	607336	3800	6719		19975	HAEI	2018
Hirschbach Motor Lines	251697	646	1010			HIRS	2017
Hirschbach Motor Lines	278494	800	1250		1965	HIRS	2018
Hub Group	3572790	2755	2705		436	"HUBG,HHWY"	2017
Hub Group	4034897	4377	3520		5850	"HUBG,HHWY"	2018
Interstate Distributor Co.	469622	2706	1964	0	7340	IDCD	2009
Interstate Distributor Co.	338500	1800	1605	0	5450	IDCD	2012
Interstate Distributor Co.	339250	1975	1605		5600	IDCD	2013
Interstate Distributor Co.	385955	2048	1682		5046	IDCD	2014
Interstate Distributor Co.	433174	2500	1804	0	7253	IDCD	2010
Interstate Distributor Co.	372000	2030	1655	0	6200	IDCD	2011
Interstate Distributor Co.	370168	2000	1805		3900	IDCD	2017
KLLM Transport Services	260234	1013	1550	0	2100	KLMI	2009
KLLM Transport Services	280904	880	1300	0	2100	KLMI	2010
KLLM Transport Services	351000	710	1400	150	2200	KLMI	2011
KLLM Transport Services	363000		1685	0	2213	KLMI	2012
KLLM Transport Services	743682		3250		4600	KLMI	2013
KLLM Transport Services	863000		3800		5500	KLMI	2014
KLLM Transport Services	937000		3815		5300	KLMI	2017
KLLM Transport Services	959000		3800		5700	KLMI	2018
Koch Companies Inc.	230189	1000	735	0	2400	KLOG	2011
Koch Companies Inc.	262000	925	725	0	2100	KLOG	2012
Koch Companies Inc.	274705	955	824	462	4279	KLOG	2013
Koch Companies Inc.	285000	980	839	418	4584	KLOG	2014
Koch Companies Inc.	214789	1000	725	0	2400	KLOG	2010
Koch Companies Inc.	226700	1000	735	0	2200	KLOG	2009
Koch Companies Inc.	280000	1150	1001		5250	KLOG	2017
Koch Companies Inc.	277000	1190	1053		5476	KLOG	2018
ArcBest	2700219	13000	4387		21361	"KNIG,KTMW,KNBK,KNIB,KNIM,KTPS"	2017
ArcBest	2826457	13000	4436		22275	"KNIG,KTMW,KNBK,KNIB,KNIM,KTPS"	2018
Landstar System	2008796	1374	8519	0	13302	LRGR	2009
Landstar System	2400170	1353	8452	0	13084	LRGR	2010
Landstar System	2793420	1369	8265	258	12967	LRGR	2012
Landstar System	2644780	1217	8174	258	12912	LRGR	2013
Landstar System	31840790	1211	8662	270	13732	LRGR	2014
Landstar System	3167634	1197	9186		15170	LRGR	2017
Landstar System	3646364	1273	9438		15534	LRGR	2018
Landstar System	2649082	1351	8121	250	13320	LRGR	2011
Lynden Inc.	885000	2391	689	55	1190	LTIA	2012
Lynden Inc.	875000	2540	670	65	3612	LTIA	2013
Lynden Inc.	1000000	2652	606	17	3646	LTIA	2014
Lynden Inc.	680000	2267	711	62	2735	LTIA	2009
Lynden Inc.	720000	2198	693	94	2773	LTIA	2010
Lynden Inc.	925000	2800	768		2889	LTIA	2017
Lynden Inc.	950000	2600	768		2889	LTIA	2018
Lynden Inc.	850000	2298	729	113	2931	LTIA	2011
Maverick USA Inc.	190658	1262	1292	0	1807	MAVK	2009
Maverick USA Inc.	200108	1377	1113	0	1761	MAVK	2010
Maverick USA Inc.	239497	1497	1199	0	1665	MAVK	2011
Maverick USA Inc.	286851	1782	1432	0	1665	MAVK	2012
Maverick USA Inc.	315014	1777	1405		1971	MAVK	2013
Maverick USA Inc.	316018	1813	1376		1983	MAVK	2014
Maverick USA Inc.	334953	2119	1675		2453	MAVK	2017
Maverick USA Inc.	352068	2122	1648		2480	MAVK	2018
Mercer Transportation Co.	282166	214	1700	0	1850	MCET	2009
Mercer Transportation Co.	363695	244	1951	0	2251	MCET	2010
Mercer Transportation Co.	476633	281	1037		1036	MCET	2011
Mercer Transportation Co.	492297	298	2191	0	0	MCET	2012
Mercer Transportation Co.	483162	315	2183			MCET	2013
Mercer Transportation Co.	547269	325	2189		2189	MCET	2014
Mercer Transportation Co.	449337	295	2228		2400	MCET	2017
Mercer Transportation Co.	492509	293	2299		2299	MCET	2018
Milan Express Co.	189000	1500	920	13	2255	MLXP	2009
Martin Transportation Systems	222000	1551	930		1800	MRLC	2014
Martin Transportation Systems	237500	1637	1130		2200	MRLC	2017
Martin Transportation Systems	261403	1725	1060		2250	MRLC	2018
Mesilla Valley Transportation	232000	1500	1020	0	3900	MSLV	2009
Mesilla Valley Transportation	298000	1500	1180	0	4100	MSLV	2010
Mesilla Valley Transportation	335000	1500	1200	0	4400	MSLV	2011
Mesilla Valley Transportation	376800	1700	1235	0	4600	MSLV	2012
Mesilla Valley Transportation	376000	1700	1200		4500	MSLV	2013
Mesilla Valley Transportation	372000	1700	1300		4800	MSLV	2014
Mesilla Valley Transportation	402940	1900	1400		5100	MSLV	2017
Mesilla Valley Transportation	430261	1760	1450		6000	MSLV	2018
Marten Transport Ltd.	505874	2666	2264	0	3958	MTEN	2009
Marten Transport Ltd.	516920	2678	2146	0	3928	MTEN	2010
Marten Transport Ltd.	603679	2787	2281	0	4124	MTEN	2011
Marten Transport Ltd.	638456	2946	2252	0	4170	MTEN	2012
Marten Transport Ltd.	659214	3045	2255		4105	MTEN	2013
Marten Transport Ltd.	672929	3240	2420		4265	MTEN	2014
Marten Transport Ltd.	671144	3622	2848		4854	MTEN	2017
Marten Transport Ltd.	698120	3492	2738		4909	MTEN	2018
Melton Truck Lines Inc.	236000	1378	1107		1837	MTLA	2014
Melton Truck Lines Inc.	269785	1569	1310		2111	MTLA	2018
Mullen Group	494646	1084	998	118	2668	MULM	2011
Mullen Group	535814	1685	1131	339	3008	MULM	2012
Mullen Group	537858	2170	1325	430	3329	MULM	2013
Mullen Group	516878	2092	1374	288	3529	MULM	2014
Mullen Group	326071	1000	980	644	2771	MULM	2009
Mullen Group	520272	3267	1821		4998	MULM	2017
Mullen Group	627372	3535	1919		5065	MULM	2018
Mullen Group	380495	1084	998	118	2668	MULM	2010
Navajo Express	197000	609	751	0	1677	NAVE	2009
Navajo Express	225000		751	0	1677	NAVE	2010
Navajo Express	218000	1300	1000		1800	NAVE	2014
NFI	1250000	8300	2793		8300	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2017
NFI	1910000	10000	4000		8900	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2018
NFI	810000	5500	2233	0	7350	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2009
NFI	90000	5600	1907	235	6851	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2010
NFI	1010000	6000	2044	30	6840	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2011
NFI	1041230	6000	2155	0	7000	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2012
NFI	1090000	7600	2300		7400	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2013
NFI	1105000	8000	2264		7500	"NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV"	2014
Old Dominion Freight Line Inc.	1245005	9608	5390	114	21185	ODFL	2009
Old Dominion Freight Line Inc.	1480998	12457	5718	112	20986	ODFL	2010
Old Dominion Freight Line Inc.	1882541	13696	5830	109	22695	ODFL	2011
Old Dominion Freight Line Inc.	2110483	14334	6099	106	24181	ODFL	2012
Old Dominion Freight Line Inc.	2337648	14073	6296	105	25052	ODFL	2013
Old Dominion Freight Line Inc.	2787897	18804	6907	116	27635	ODFL	2014
Old Dominion Freight Line Inc.	2991517	19040	7994		32525	ODFL	2017
Old Dominion Freight Line Inc.	3358112	20944	8316		32890	ODFL	2018
P.A.M. Transportation Services Inc.	432852	2463			5699	PAMT	2017
P.A.M. Transportation Services Inc.	437838	2409	2281		5795	PAMT	2018
P.A.M. Transportation Services Inc.	331994	2658	1768	0	4632	PAMT	2010
P.A.M. Transportation Services Inc.	359243	2764	1868	0	4785	PAMT	2011
P.A.M. Transportation Services Inc.	380633	3031	1800	0	4943	PAMT	2012
P.A.M. Transportation Services Inc.	402813	3034	1837		5170	PAMT	2013
