Company	Revenue	SCAC	Year	g.mile.CO2	g.mile.NOx	g.mile.PM	index
Crete Carrier Corp.	850000	CRCR	2009	1480	3.4	0.006	1
Crete Carrier Corp.	850311	CRCR	2010	1480	3.4	0.006	2
Crete Carrier Corp.	942000	CRCR	2011	1480	3.4	0.006	3
Crete Carrier Corp.	998727	CRCR	2012	1480	3.4	0.006	4
Crete Carrier Corp.	1008165	CRCR	2013	1480	3.4	0.006	5
Crete Carrier Corp.	1100000	CRCR	2014	1480	3.4	0.006	6
Crete Carrier Corp.	1030000	CRCR	2017	1480	3.4	0.006	7
Crete Carrier Corp.	1100000	CRCR	2018	1480	3.4	0.006	8
CRST International	679622	CRFR	2009	1500	1.55	0.015	1
CRST International	838193	CRFR	2010	1500	1.55	0.015	2
CRST International	1277348	CRFR	2011	1500	1.55	0.015	3
CRST International	1257995	CRFR	2012	1500	1.55	0.015	4
CRST International	1269899	CRFR	2013	1500	1.55	0.015	5
CRST International	1351571	CRFR	2014	1500	1.55	0.015	6
CRST International	1546000	CRFR	2017	1500	1.55	0.015	7
CRST International	1555000	CRFR	2018	1500	1.55	0.015	8
Dart Transit Co.	474000	DART,DARN,DARD	2009	1560	3.4	0.026	1
Dart Transit Co.	458000	DART,DARN,DARD	2010	1560	3.4	0.026	2
Dart Transit Co.	480000	DART,DARN,DARD	2011	1560	3.4	0.026	3
Dart Transit Co.	457000	DART,DARN,DARD	2012	1560	3.4	0.026	4
Dart Transit Co.	426320	DART,DARN,DARD	2013	1560	3.4	0.026	5
Dart Transit Co.	425503	DART,DARN,DARD	2014	1560	3.4	0.026	6
Dart Transit Co.	441845	DART,DARN,DARD	2017	1560	3.4	0.026	7
Dart Transit Co.	451925	DART,DARN,DARD	2018	1560	3.4	0.026	8
Dayton Freight Lines Inc.	213500	DAFG	2009	1650	5	0.14	1
Dayton Freight Lines Inc.	257000	DAFG	2010	1650	5	0.14	2
Dayton Freight Lines Inc.	321000	DAFG	2011	1650	5	0.14	3
Dayton Freight Lines Inc.	363400	DAFG	2012	1650	5	0.14	4
Dayton Freight Lines Inc.	386000	DAFG	2013	1650	5	0.14	5
Dayton Freight Lines Inc.	436000	DAFG	2014	1650	5	0.14	6
Dayton Freight Lines Inc.	498370	DAFG	2017	1650	5	0.14	7
Dayton Freight Lines Inc.	562000	DAFG	2018	1650	5	0.14	8
DHL USA 	6586872	DMAL	2009	1620	8.5	0.275	1
Dicom Transportation Group	230874	GOGI	2014	1750	1.4	0.06	1
Dicom Transportation Group	320700	GOGI	2017	1750	1.4	0.06	2
Dicom Transportation Group	320700	GOGI	2018	1750	1.4	0.06	3
Dynamex Inc	301924	DYXW	2009	1620	8.5	0.275	1
Epes Carriers Inc.	218434	EPES	2009	1480	3.4	0.046	1
Epes Carriers Inc.	247898	EPES	2010	1480	3.4	0.046	2
Epes Carriers Inc.	277087	EPES	2011	1480	3.4	0.046	3
Epes Carriers Inc.	302593	EPES	2012	1480	3.4	0.046	4
Epes Carriers Inc.	320000	EPES	2013	1480	3.4	0.046	5
Epes Carriers Inc.	341494	EPES	2014	1480	3.4	0.046	6
Epes Carriers Inc.	332073	EPES	2017	1480	3.4	0.046	7
Epes Carriers Inc.	400977	EPES	2018	1480	3.4	0.046	8
Estes Express Lines	1304000	EXLA	2009	1600	6.55	0.195	1
Estes Express Lines	1502510	EXLA	2010	1600	6.55	0.195	2
Estes Express Lines	170000	EXLA	2011	1600	6.55	0.195	3
Estes Express Lines	1857598	EXLA	2012	1600	6.55	0.195	4
Estes Express Lines	1948535	EXLA	2013	1600	6.55	0.195	5
Estes Express Lines	2173000	EXLA	2014	1600	6.55	0.195	6
Estes Express Lines	2400000	EXLA	2017	1600	6.55	0.195	7
Estes Express Lines	2740000	EXLA	2018	1600	6.55	0.195	8
Evans Network of Cos.	181000	EVTW	2009	2040	18.5	0.775	1
Evans Network of Cos.	245673	EVTW	2010	2040	18.5	0.775	2
Evans Network of Cos.	268635	EVTW	2011	2040	18.5	0.775	3
Evans Network of Cos.	275000	EVTW	2012	2040	18.5	0.775	4
Evans Network of Cos.	310000	EVTW	2013	2040	18.5	0.775	5
Evans Network of Cos.	400000	EVTW	2014	2040	18.5	0.775	6
Evans Network of Cos.	505000	EVTW	2017	2040	18.5	0.775	7
Evans Network of Cos.	898000	EVTW	2018	2040	18.5	0.775	8
Falcon Transport Co.	217510	FCNW	2013	1640	4.6	0.115	1
Foodliner/Quest Liner	252275	FOLW	2017	1550	3.9	0.055	1
Foodliner/Quest Liner	277471	FOLW	2018	1550	3.9	0.055	2
Forward Air Corp.	417410	FAFN	2009	1600	6.55	0.195	1
Forward Air Corp.	483939	FAFN	2010	1600	6.55	0.195	2
Forward Air Corp.	536402	FAFN	2011	1600	6.55	0.195	3
Forward Air Corp.	584446	FAFN	2012	1600	6.55	0.195	4
Forward Air Corp.	652481	FAFN	2013	1600	6.55	0.195	5
Forward Air Corp.	1010959	FAFN	2014	1600	6.55	0.195	6
Forward Air Corp.	982530	FAFN	2017	1600	6.55	0.195	7
Forward Air Corp.	1100816	FAFN	2018	1600	6.55	0.195	8
Frozen Food Express Industries	373051	FRZF	2009	1540	4.6	0.115	1
Frozen Food Express Industries	368822	FRZF	2010	1540	4.6	0.115	2
Frozen Food Express Industries	388461	FRZF	2011	1540	4.6	0.115	3
Frozen Food Express Industries	377715	FRZF	2012	1540	4.6	0.115	4
Gordon Trucking Inc.	285000	GORK	2009	1640	0.9	0.026	1
Gordon Trucking Inc.	320000	GORK	2010	1640	0.9	0.026	2
Gordon Trucking Inc.	383000	GORK	2011	1640	0.9	0.026	3
Gordon Trucking Inc.	426000	GORK	2012	1640	0.9	0.026	4
Greatwide Logistics Services	1000000	ATGL	2009	1600	9.05	0.195	1
Greatwide Logistics Services	1022027	ATGL	2010	1600	9.05	0.195	2
Greatwide Logistics Services	1045957	ATGL	2011	1600	9.05	0.195	3
Greatwide Logistics Services	444737	ATGL	2012	1600	9.05	0.195	4
Heartland Express Inc.	459539	HAEI	2009	1480	3.4	0.006	1
Heartland Express Inc.	499516	HAEI	2010	1480	3.4	0.006	2
Heartland Express Inc.	528623	HAEI	2011	1480	3.4	0.006	3
Heartland Express Inc.	545745	HAEI	2012	1480	3.4	0.006	4
Heartland Express Inc.	961525	HAEI	2013	1480	3.4	0.006	5
Heartland Express Inc.	871355	HAEI	2014	1480	3.4	0.006	6
Heartland Express Inc.	612937	HAEI	2017	1480	3.4	0.006	7
Heartland Express Inc.	607336	HAEI	2018	1480	3.4	0.006	8
Hirschbach Motor Lines	251697	HIRS	2017	1540	2.2	0.055	1
Hirschbach Motor Lines	278494	HIRS	2018	1540	2.2	0.055	2
Hub Group	3572790	HUBG,HHWY	2017	2040	18.5	0.775	1
Hub Group	4034897	HUBG,HHWY	2018	2040	18.5	0.775	2
Interstate Distributor Co.	469622	IDCD	2009	1480	3.4	0.026	1
Interstate Distributor Co.	433174	IDCD	2010	1480	3.4	0.026	2
Interstate Distributor Co.	372000	IDCD	2011	1480	3.4	0.026	3
Interstate Distributor Co.	338500	IDCD	2012	1480	3.4	0.026	4
Interstate Distributor Co.	339250	IDCD	2013	1480	3.4	0.026	5
Interstate Distributor Co.	385955	IDCD	2014	1480	3.4	0.026	6
Interstate Distributor Co.	370168	IDCD	2017	1480	3.4	0.026	7
J.B. Hunt Transport Services Inc.	3203321	QPMT	2009	1075	16.5	0.44	1
J.B. Hunt Transport Services Inc.	3793485	QPMT	2010	1075	16.5	0.44	2
J.B. Hunt Transport Services Inc.	4527000	QPMT	2011	1075	16.5	0.44	3
J.B. Hunt Transport Services Inc.	5054980	QPMT	2012	1075	16.5	0.44	4
J.B. Hunt Transport Services Inc.	5585000	QPMT	2013	1075	16.5	0.44	5
J.B. Hunt Transport Services Inc.	6165441	QPMT	2014	1075	16.5	0.44	6
J.B. Hunt Transport Services Inc.	6555459	QPMT	2017	1075	16.5	0.44	7
J.B. Hunt Transport Services Inc.	7189568	QPMT	2018	1075	16.5	0.44	8
Jack Cooper Transport Co.	165600	COOJ	2009	2182.5	14.45	0.45	1
Jack Cooper Transport Co.	275000	COOJ	2010	2182.5	14.45	0.45	2
Jack Cooper Transport Co.	450000	COOJ	2011	2182.5	14.45	0.45	3
Jack Cooper Transport Co.	500000	COOJ	2012	2182.5	14.45	0.45	4
Jack Cooper Transport Co.	825000	COOJ	2013	2182.5	14.45	0.45	5
Jack Cooper Transport Co.	790000	COOJ	2014	2182.5	14.45	0.45	6
Jack Cooper Transport Co.	667849	COOJ	2017	2182.5	14.45	0.45	7
Jack Cooper Transport Co.	602825	COOJ	2018	2182.5	14.45	0.45	8
John Christner Trucking LLC	264774	CJHT	2012	1740	3.4	0.085	1
John Christner Trucking LLC	256426	CJHT	2013	1740	3.4	0.085	2
John Christner Trucking LLC	271104	CJHT	2014	1740	3.4	0.085	3
John Christner Trucking LLC	239015	CJHT	2017	1740	3.4	0.085	4
John Christner Trucking LLC	244696	CJHT	2018	1740	3.4	0.085	5
Kenan Advantage Group Inc.	672113	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2009	1750	7.1	0.195	1
Kenan Advantage Group Inc.	772447	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2010	1750	7.1	0.195	2
Kenan Advantage Group Inc.	987800	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2011	1750	7.1	0.195	3
Kenan Advantage Group Inc.	1091031	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2012	1750	7.1	0.195	4
Kenan Advantage Group Inc.	1286631	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2013	1750	7.1	0.195	5
Kenan Advantage Group Inc.	1567453	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2014	1750	7.1	0.195	6
Kenan Advantage Group Inc.	1421975	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2017	1750	7.1	0.195	7
Kenan Advantage Group Inc.	1441440	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB	2018	1750	7.1	0.195	8
KLLM Transport Services	260234	KLMI	2009	1887.5	3.25	0.041	1
KLLM Transport Services	280904	KLMI	2010	1887.5	3.25	0.041	2
KLLM Transport Services	351000	KLMI	2011	1887.5	3.25	0.041	3
KLLM Transport Services	363000	KLMI	2012	1887.5	3.25	0.041	4
KLLM Transport Services	743682	KLMI	2013	1887.5	3.25	0.041	5
KLLM Transport Services	863000	KLMI	2014	1887.5	3.25	0.041	6
KLLM Transport Services	937000	KLMI	2017	1887.5	3.25	0.041	7
KLLM Transport Services	959000	KLMI	2018	1887.5	3.25	0.041	8
Landstar System	2008796	LRGR	2009	2460	28.5	1.275	1
Landstar System	2400170	LRGR	2010	2460	28.5	1.275	2
Landstar System	2649082	LRGR	2011	2460	28.5	1.275	3
Landstar System	2793420	LRGR	2012	2460	28.5	1.275	4
Landstar System	2644780	LRGR	2013	2460	28.5	1.275	5
Landstar System	31840790	LRGR	2014	2460	28.5	1.275	6
Landstar System	3167634	LRGR	2017	2460	28.5	1.275	7
Landstar System	3646364	LRGR	2018	2460	28.5	1.275	8
Lynden Inc.	680000	LTIA	2009	1570	5	0.2435	1
Lynden Inc.	720000	LTIA	2010	1570	5	0.2435	2
Lynden Inc.	850000	LTIA	2011	1570	5	0.2435	3
Lynden Inc.	885000	LTIA	2012	1570	5	0.2435	4
Lynden Inc.	875000	LTIA	2013	1570	5	0.2435	5
Lynden Inc.	1000000	LTIA	2014	1570	5	0.2435	6
Lynden Inc.	925000	LTIA	2017	1570	5	0.2435	7
Lynden Inc.	950000	LTIA	2018	1570	5	0.2435	8
Marten Transport Ltd.	505874	MTEN	2009	1675	15.5	0.44	1
Marten Transport Ltd.	516920	MTEN	2010	1675	15.5	0.44	2
Marten Transport Ltd.	603679	MTEN	2011	1675	15.5	0.44	3
Marten Transport Ltd.	638456	MTEN	2012	1675	15.5	0.44	4
Marten Transport Ltd.	659214	MTEN	2013	1675	15.5	0.44	5
Marten Transport Ltd.	672929	MTEN	2014	1675	15.5	0.44	6
Marten Transport Ltd.	671144	MTEN	2017	1675	15.5	0.44	7
Marten Transport Ltd.	698120	MTEN	2018	1675	15.5	0.44	8
Martin Transportation Systems	222000	MRLC	2014	1480	3.4	0.026	1
Martin Transportation Systems	237500	MRLC	2017	1480	3.4	0.026	2
Martin Transportation Systems	261403	MRLC	2018	1480	3.4	0.026	3
Maverick USA Inc.	190658	MAVK	2009	1570	2	0.0115	1
Maverick USA Inc.	200108	MAVK	2010	1570	2	0.0115	2
Maverick USA Inc.	239497	MAVK	2011	1570	2	0.0115	3
Maverick USA Inc.	286851	MAVK	2012	1570	2	0.0115	4
Maverick USA Inc.	315014	MAVK	2013	1570	2	0.0115	5
Maverick USA Inc.	316018	MAVK	2014	1570	2	0.0115	6
Maverick USA Inc.	334953	MAVK	2017	1570	2	0.0115	7
Maverick USA Inc.	352068	MAVK	2018	1570	2	0.0115	8
Melton Truck Lines Inc.	236000	MTLA	2014	1670	2	0.0115	1
Melton Truck Lines Inc.	269785	MTLA	2018	1670	2	0.0115	2
Mercer Transportation Co.	282166	MCET	2009	1670	11	0.2435	1
Mercer Transportation Co.	363695	MCET	2010	1670	11	0.2435	2
Mercer Transportation Co.	476633	MCET	2011	1670	11	0.2435	3
Mercer Transportation Co.	492297	MCET	2012	1670	11	0.2435	4
Mercer Transportation Co.	483162	MCET	2013	1670	11	0.2435	5
Mercer Transportation Co.	547269	MCET	2014	1670	11	0.2435	6
Mercer Transportation Co.	449337	MCET	2017	1670	11	0.2435	7
Mercer Transportation Co.	492509	MCET	2018	1670	11	0.2435	8
Mesilla Valley Transportation	232000	MSLV	2009	1480	0.9	0.026	1
Mesilla Valley Transportation	298000	MSLV	2010	1480	0.9	0.026	2
Mesilla Valley Transportation	335000	MSLV	2011	1480	0.9	0.026	3
Mesilla Valley Transportation	376800	MSLV	2012	1480	0.9	0.026	4
Mesilla Valley Transportation	376000	MSLV	2013	1480	0.9	0.026	5
Mesilla Valley Transportation	372000	MSLV	2014	1480	0.9	0.026	6
Mesilla Valley Transportation	402940	MSLV	2017	1480	0.9	0.026	7
Mesilla Valley Transportation	430261	MSLV	2018	1480	0.9	0.026	8
Milan Express Co.	189000	MLXP	2009	1560	0.9	0.026	1
Mullen Group	326071	MULM	2009	1800	3.4	0.046	1
Mullen Group	380495	MULM	2010	1800	3.4	0.046	2
Mullen Group	494646	MULM	2011	1800	3.4	0.046	3
Mullen Group	535814	MULM	2012	1800	3.4	0.046	4
Mullen Group	537858	MULM	2013	1800	3.4	0.046	5
Mullen Group	516878	MULM	2014	1800	3.4	0.046	6
Mullen Group	520272	MULM	2017	1800	3.4	0.046	7
Mullen Group	627372	MULM	2018	1800	3.4	0.046	8
Navajo Express	197000	NAVE	2009	1540	2.2	0.055	1
Navajo Express	225000	NAVE	2010	1540	2.2	0.055	2
Navajo Express	218000	NAVE	2014	1540	2.2	0.055	3
NFI	810000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2009	1480	0.9	0.026	1
NFI	90000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2010	1480	0.9	0.026	2
NFI	1010000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2011	1480	0.9	0.026	3
NFI	1041230	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2012	1480	0.9	0.026	4
NFI	1090000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2013	1480	0.9	0.026	5
NFI	1105000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2014	1480	0.9	0.026	6
NFI	1250000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2017	1480	0.9	0.026	7
NFI	1910000	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV	2018	1480	0.9	0.026	8
Old Dominion Freight Line Inc.	1245005	ODFL	2009	1450	3.2	0.14	1
Old Dominion Freight Line Inc.	1480998	ODFL	2010	1450	3.2	0.14	2
Old Dominion Freight Line Inc.	1882541	ODFL	2011	1450	3.2	0.14	3
Old Dominion Freight Line Inc.	2110483	ODFL	2012	1450	3.2	0.14	4
Old Dominion Freight Line Inc.	2337648	ODFL	2013	1450	3.2	0.14	5
Old Dominion Freight Line Inc.	2787897	ODFL	2014	1450	3.2	0.14	6
Old Dominion Freight Line Inc.	2991517	ODFL	2017	1450	3.2	0.14	7
Old Dominion Freight Line Inc.	3358112	ODFL	2018	1450	3.2	0.14	8
OnTrac Inc.	239552	EMSY	2011	1750	1.4	0.06	1
OnTrac Inc.	286911	EMSY	2012	1750	1.4	0.06	2
OnTrac Inc.	332331	EMSY	2013	1750	1.4	0.06	3
OnTrac Inc.	525000	EMSY	2017	1750	1.4	0.06	4
OnTrac Inc.	572856	EMSY	2018	1750	1.4	0.06	5
P.A.M. Transportation Services Inc.	291910	PAMT	2009	1480	0.9	0.006	1
P.A.M. Transportation Services Inc.	331994	PAMT	2010	1480	0.9	0.006	2
P.A.M. Transportation Services Inc.	359243	PAMT	2011	1480	0.9	0.006	3
P.A.M. Transportation Services Inc.	380633	PAMT	2012	1480	0.9	0.006	4
P.A.M. Transportation Services Inc.	402813	PAMT	2013	1480	0.9	0.006	5
P.A.M. Transportation Services Inc.	410937	PAMT	2014	1480	0.9	0.006	6
P.A.M. Transportation Services Inc.	432852	PAMT	2017	1480	0.9	0.006	7
